,subclass,details
415,16291, Manufacture of wooden industrial goods
416,16292, Manufacture of cork and cork products
417,16293, Manufacture of wooden agricultural implements
418,16294," Manufacture of various articles made of bamboo, cane and grass"
419,16295, Manufacture of broomsticks
420,16296," Manufacture of articles made of palm leaf, dhak leaf, screw-pine leaf and khajoor leaf; articles of vegetables fibre etc,."
421,16297, Manufacture of products of pith and shalapith
422,16299, Manufacture of other wood products n.e.c.
423,17011, Manufacture of pulp
424,17012, Manufacture of news print
425,17013, Manufacture of paper and paper rolls not further processed
426,17014, Manufacture of packing paper
427,17015, Manufacture of other special purpose paper(excludingcomputer stationary)
428,17016," Manufacture of paper board, straw board"
429,17017, Manufacture of hard board including false board and chip board
430,17019, Manufacture of other primary paper materials including composite paper and paper board n.e.c.
431,17021, Manufacture of corrugated paper and paperboard
432,17022, Manufacture of corrugated paper board containers
433,17023, Manufacture of card board boxes
434,17024, Manufacture of sacks and bags of paper
435,17029, Manufacture of other containers of paper and paperboard n.e.c.
436,17091, Manufacture of computer paper
437,17092," Manufacture of paper cups, saucers, plates, hoops, cones and other similar products"
438,17093," Manufacture of printing, writing and photocopying paper ready for use"
439,17094, Manufacture of paper pulp articles other than containers (such as egg trays)
440,17095," Manufacture of file cover/file boards, and similar articles."
441,17096, Manufacture of wall paper
442,17097, Manufacture of carbon paper & stationary items
443,17099, Manufacture of other paper products n.e.c.
444,18111, Printing of newspapers
445,18112," Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc."
446,18113," Printing of postage stams, taxation stamps, cheques and other security papers"
447,18114," Printing of bank notes, currency notes"
448,18115," Printing directly onto textiles, flexographic plastic, glass, metal, wood and ceramics"
449,18119, Other printing activities like screen printing other than textile n.e.c.
450,18121, Book and other similar sheet binding on account of others
451,18122," Engraving, etching and block making etc."
452,18129, Other service activities related to printing n.e.c.
453,18200, Reproduction of recorded media
454,19101, Production of coke and semi-coke products
455,19109," Manufacture of other coke oven products such as gas, crude coal and lignite tars etc."
456,19201," Production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products from crude petroleum or bituminous minerals"
457,19202, Manufacture of paraffin wax
458,19203, Bottling of LPG/CNG
459,19204, Manufacture of hard-coal and lignite fuel briquettes
460,19209," Manufacture of other petroleum n.e.c. (includes manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals)"
461,20111," Manufacture of liquefied or compressed inorganic industrial or medical gases (elemental gases, liquid or compressed air, refrigerant gases, mixed industrial gases etc.)"
462,20112, Manufacture of inorganic acids except nitric acid
463,20113, Manufacture of tanning or dying extracts; tannings and their derivatives and colouring matter (including manufacture of indigo)
464,20114, Manufacture of dyes and pigments from any source in basic form or as concentrate
465,20115, Manufacture of turpentine and resins of vegetable origin
466,20116, Manufacture of basic chemical elements
467,20117, Manufacture of distilled water
468,20118, Manufacture of synthetic aromatic products
469,20119, Manufacture of organic and inorganic chemical compounds n.e.c.
470,20121, Manufacture of urea and other organic fertilizers
